blockTradeId,closedSize,execFee,execFeeV2,execId,execPrice,execQty,execTime,execType,execValue,extraFees,feeCurrency,feeRate,indexPrice,isMaker,leavesQty,markIv,markPrice,marketUnit,orderId,orderLinkId,orderPrice,orderQty,orderType,seq,side,stopOrderType,symbol,tradeIv,underlyingPrice,netFee,netPnl,localTime,balance
,0,0.13433192,,5cc27fad-ed23-48a1-9a35-12d3bb43e10e,37.9,0.1,1.75541E+12,Trade,3.79,,,0.0003,4477.730375,FALSE,0,0.509,37.59063874,,a85d4834-f602-4010-83f1-acb0b640feda,a6c3583b732b406bacab6a3eb7f5b8bb,38.1,0.1,Market,1.4071E+14,Buy,UNKNOWN,ETH-18AUG25-4450-P-USDT,0.512139,4478.169721,0.13433192,-3.92433192,17/08/2025 14:52,493.9238052
,0.1,0.08643486,,c7344dda-118b-4a62-b8c5-1c00c2fd0c78,113.7,0.1,1.75549E+12,Trade,11.37,,,0.0002,4321.742536,TRUE,0,0.7419,128.0029696,,29e8ecad-822c-4e3a-bd34-74f98c227f57,574e39f896bb4d1a8082884db50d6c42,113.7,0.1,Limit,1.4071E+14,Sell,UNKNOWN,ETH-18AUG25-4450-P-USDT,,4321.880297,0.08643486,11.28356514,18/08/2025 12:50,505.2073704
