blockTradeId,closedSize,execFee,execId,execPrice,execQty,execTime,execType,execValue,feeCurrency,feeRate,indexPrice,isMaker,leavesQty,markIv,markPrice,marketUnit,orderId,orderLinkId,orderPrice,orderQty,orderType,seq,side,stopOrderType,symbol,tradeIv,underlyingPrice,netFee,netPnl,localTime,balance
,0.1,3.20026231,0c276ec0-cbfb-48dc-8d9b-896ef269e93b,785,0.1,1750985781250,Trade,78.5,,0.0003,106675.41021272,False,0,0.244,891.96837268,,93f59915-53bc-4992-8bbc-111c331dd42d,3e9a8fad771c403f8e6ce3de8ddd7f89,780,0.1,Market,140710218081956,Sell,UNKNOWN,BTC-27JUN25-107500-P-USDT,,106654.93,3.20026231,0.0,2025-06-27 10:56:21,285.7103525
,0,2.15784468,d741656c-373f-45dc-a5c6-61883433734c,235,0.1,1750970300472,Trade,23.5,,0.0002,107892.23388471,True,0,0.2493,228.81213139,,3e1abe6f-be97-4ee9-91f4-cfa1b7198ceb,bda124a2a46345729c733728a1b6bd73,235,0.1,Limit,140710218081924,Buy,UNKNOWN,BTC-27JUN25-107500-P-USDT,0.25352,107869.08,2.15784468,0.0,2025-06-27 06:38:20,285.7103525
